,USD,EUR,RON
2023-10-1,18.0,19.04,3.76
2023-10-2,18.0,19.08,3.76
2023-10-3,17.98,19.12,3.78
2023-10-4,17.98,19.12,3.78
2023-10-5,17.98,19.12,3.78
2023-10-6,17.85,19.15,3.78
2023-10-7,17.8,19.06,3.78
2023-10-8,17.75,18.98,3.76
2023-10-9,17.72,18.98,3.76
2023-10-10,17.75,19.0,3.76
2023-10-11,17.75,19.0,3.76
2023-10-12,17.75,19.0,3.76
2023-10-13,17.78,19.08,3.76
2023-10-14,17.82,19.13,3.78
2023-10-15,17.73,19.3,3.82
2023-10-16,17.71,19.22,3.81
2023-10-17,17.66,19.18,3.8
2023-10-18,17.66,19.18,3.8
2023-10-19,17.66,19.18,3.8
2023-10-20,17.6,19.22,3.81
2023-10-21,17.6,19.28,3.81
2023-10-22,17.62,19.24,3.8
2023-10-23,17.67,19.3,3.82
2023-10-24,17.68,19.34,3.82
2023-10-25,17.68,19.34,3.82
2023-10-26,17.68,19.34,3.82
2023-10-27,17.7,19.35,3.83
2023-10-28,17.68,19.34,3.82
2023-10-29,17.63,19.37,3.83
2023-10-30,17.61,19.32,3.82
2023-10-31,17.61,19.23,3.8
