,USD,EUR,RON
2023-10-1,17.9,18.95,3.74
2023-10-2,18.0,19.05,3.76
2023-10-3,17.93,19.03,3.76
2023-10-4,17.93,19.03,3.76
2023-10-5,17.93,19.03,3.76
2023-10-6,17.8,19.05,3.78
2023-10-7,17.76,19.01,3.76
2023-10-8,17.71,18.93,3.75
2023-10-9,17.68,18.9,3.75
2023-10-10,17.73,18.95,3.74
2023-10-11,17.73,18.95,3.74
2023-10-12,17.73,18.95,3.74
2023-10-13,17.72,19.01,3.74
2023-10-14,17.77,19.07,3.76
2023-10-15,17.71,19.16,3.78
2023-10-16,17.67,19.14,3.78
2023-10-17,17.64,19.14,3.78
2023-10-18,17.64,19.14,3.78
2023-10-19,17.64,19.14,3.78
2023-10-20,17.6,19.14,3.8
2023-10-21,17.58,19.17,3.8
2023-10-22,17.6,19.23,3.8
2023-10-23,17.65,19.3,3.8
2023-10-24,17.65,19.33,3.8
2023-10-25,17.65,19.33,3.8
2023-10-26,17.65,19.33,3.8
2023-10-27,17.65,19.33,3.8
2023-10-28,17.65,19.33,3.8
2023-10-29,17.63,19.33,3.8
2023-10-30,17.57,19.25,3.8
2023-10-31,17.57,19.2,3.78
