,USD_micb,EUR_micb,RON_micb,USD_bcr,EUR_bcr,RON_bcr,USD_eximbank,EUR_eximbank,RON_eximbank
2023-10-1,17.9,18.95,3.74,18.0,19.05,3.8,18.0,19.04,3.76
2023-10-2,18.0,19.05,3.76,18.0,19.08,3.8,18.0,19.08,3.76
2023-10-3,17.93,19.03,3.76,18.0,19.1,3.8,17.98,19.12,3.78
2023-10-4,17.93,19.03,3.76,18.0,19.1,3.8,17.98,19.12,3.78
2023-10-5,17.93,19.03,3.76,18.0,19.1,3.8,17.98,19.12,3.78
2023-10-6,17.8,19.05,3.78,17.85,19.13,3.82,17.85,19.15,3.78
2023-10-7,17.76,19.01,3.76,17.8,19.03,3.8,17.8,19.06,3.78
2023-10-8,17.71,18.93,3.75,17.7,18.9,3.77,17.75,18.98,3.76
2023-10-9,17.68,18.9,3.75,17.69,18.93,3.77,17.72,18.98,3.76
2023-10-10,17.73,18.95,3.74,17.75,18.92,3.77,17.75,19.0,3.76
2023-10-11,17.73,18.95,3.74,17.75,18.92,3.77,17.75,19.0,3.76
2023-10-12,17.73,18.95,3.74,17.75,18.92,3.77,17.75,19.0,3.76
2023-10-13,17.72,19.01,3.74,17.77,19.0,3.77,17.78,19.08,3.76
2023-10-14,17.77,19.07,3.76,17.8,19.04,3.77,17.82,19.13,3.78
2023-10-15,17.71,19.16,3.78,17.74,19.25,3.84,17.73,19.3,3.82
2023-10-16,17.67,19.14,3.78,17.72,19.18,3.84,17.71,19.22,3.81
2023-10-17,17.64,19.14,3.78,17.72,19.17,3.83,17.66,19.18,3.8
2023-10-18,17.64,19.14,3.78,17.72,19.17,3.83,17.66,19.18,3.8
2023-10-19,17.64,19.14,3.78,17.72,19.17,3.83,17.66,19.18,3.8
2023-10-20,17.6,19.14,3.8,17.6,19.18,3.84,17.6,19.22,3.81
2023-10-21,17.58,19.17,3.8,17.65,19.3,3.84,17.6,19.28,3.81
2023-10-22,17.6,19.23,3.8,17.62,19.2,3.83,17.62,19.24,3.8
2023-10-23,17.65,19.3,3.8,17.66,19.26,3.85,17.67,19.3,3.82
2023-10-24,17.65,19.33,3.8,17.7,19.28,3.84,17.68,19.34,3.82
2023-10-25,17.65,19.33,3.8,17.7,19.28,3.84,17.68,19.34,3.82
2023-10-26,17.65,19.33,3.8,17.7,19.28,3.84,17.68,19.34,3.82
2023-10-27,17.65,19.33,3.8,17.65,19.3,3.85,17.7,19.35,3.83
2023-10-28,17.65,19.33,3.8,17.7,19.35,3.85,17.68,19.34,3.82
2023-10-29,17.63,19.33,3.8,17.65,19.38,3.85,17.63,19.37,3.83
2023-10-30,17.57,19.25,3.8,17.62,19.3,3.84,17.61,19.32,3.82
2023-10-31,17.57,19.2,3.78,17.62,19.22,3.83,17.61,19.23,3.8
